7zip 25.01-5.fc44
kaccounts-providers 25.12.3-1.fc44
kactivitymanagerd 6.6.4-1.fc44
kaddressbook 25.12.3-1.fc44
kaddressbook-libs 25.12.3-1.fc44
kamera 25.12.3-1.fc44
kamoso 25.12.3-1.fc44
kasumi-common 2.5-50.fc44
kasumi-unicode 2.5-50.fc44
kate-libs 25.12.3-1.fc44
kbd 2.9.0-3.fc44
kbd-legacy 2.9.0-3.fc44
kbd-misc 2.9.0-3.fc44
kcalc 25.12.3-1.fc44
kcalutils 25.12.3-1.fc44
kcharselect 25.12.3-1.fc44
kcm-plasma-keyboard 6.6.4-1.fc44
kcm-plasmalogin 6.6.4-1.fc44
kcolorpicker-qt6 0.3.0-7.fc44
kdebugsettings 25.12.3-1.fc44
kde-cli-tools 6.6.4-1.fc44
kde-connect 25.12.3-1.fc44
kdeconnectd 25.12.3-1.fc44
kde-connect-libs 25.12.3-1.fc44
kdecoration 6.6.4-1.fc44
kde-filesystem 5-7.fc44
kdegraphics-mobipocket 25.12.3-1.fc44
kdegraphics-thumbnailers 25.12.3-1.fc44
kde-gtk-config 6.6.4-1.fc44
kde-inotify-survey 25.12.3-1.fc44
kde-l10n 17.08.3-22.fc44
kdenetwork-filesharing 25.12.3-1.fc44
kde-partitionmanager 25.12.3-1.fc44
kdepim-addons 25.12.3-1.fc44
kdepim-runtime 25.12.3-1.fc44
kdepim-runtime-libs 25.12.3-1.fc44
kdeplasma-addons 6.6.4-1.fc44
kde-settings 43.101-3.fc44
kde-settings-plasma 43.101-3.fc44
kde-settings-plasmalogin 43.101-3.fc44
kde-settings-pulseaudio 43.101-3.fc44
kdesu 6.6.4-1.fc44
kdiagram 3.0.1-9.fc44
kdialog 25.12.3-1.fc44
kdnssd 25.12.3-1.fc44
kdsoap6 2.2.0-9.fc44
kdsoap-ws-discovery-client 0.4.0-6.fc44
kdump-anaconda-addon 006-17.20250925git2a3605a.fc44
keditbookmarks 25.12.3-1.fc44
keditbookmarks-libs 25.12.3-1.fc44
kernel 6.19.10-300.fc44
kernel-core 6.19.10-300.fc44
kernel-modules 6.19.10-300.fc44
kernel-modules-core 6.19.10-300.fc44
kernel-modules-extra 6.19.10-300.fc44
kernel-tools 6.19.10-300.fc44
kernel-tools-libs 6.19.10-300.fc44
kexec-tools 2.0.32-3.fc44
keyutils 1.6.3-7.fc44
keyutils-libs 1.6.3-7.fc44
kf5-filesystem 5.116.0-6.fc44
kf6-attica 6.25.0-1.fc44
kf6-baloo 6.25.0-1.fc44
kf6-baloo-file 6.25.0-1.fc44
kf6-baloo-libs 6.25.0-1.fc44
kf6-bluez-qt 6.25.0-1.fc44
kf6-breeze-icons 6.25.0-1.fc44
kf6-filesystem 6.25.0-1.fc44
kf6-frameworkintegration 6.25.0-1.fc44
kf6-frameworkintegration-libs 6.25.0-1.fc44
kf6-karchive 6.25.0-1.fc44
kf6-kauth 6.25.0-1.fc44
kf6-kbookmarks 6.25.0-1.fc44
kf6-kcalendarcore 6.25.0-1.fc44
kf6-kcmutils 6.25.0-1.fc44
kf6-kcodecs 6.25.0-1.fc44
kf6-kcolorscheme 6.25.0-1.fc44
kf6-kcompletion 6.25.0-1.fc44
kf6-kconfig 6.25.0-1.fc44
kf6-kconfigwidgets 6.25.0-1.fc44
kf6-kcontacts 6.25.0-1.fc44
kf6-kcoreaddons 6.25.0-1.fc44
kf6-kcrash 6.25.0-1.fc44
kf6-kdav 6.25.0-1.fc44
kf6-kdbusaddons 6.25.0-1.fc44
kf6-kdeclarative 6.25.0-1.fc44
kf6-kded 6.25.0-1.fc44
kf6-kdesu 6.25.0-1.fc44
kf6-kdnssd 6.25.0-1.fc44
kf6-kdoctools 6.25.0-1.fc44
kf6-kfilemetadata 6.25.0-1.fc44
kf6-kglobalaccel 6.25.0-1.fc44
kf6-kguiaddons 6.25.0-1.fc44
kf6-kholidays 6.25.0-1.fc44
kf6-ki18n 6.25.0-1.fc44
kf6-kiconthemes 6.25.0-1.fc44
kf6-kidletime 6.25.0-1.fc44
kf6-kidletime-x11 6.25.0-1.fc44
kf6-kimageformats 6.25.0-2.fc44
kf6-kio-core 6.25.0-1.fc44
kf6-kio-core-libs 6.25.0-1.fc44
kf6-kio-doc 6.25.0-1.fc44
kf6-kio-file-widgets 6.25.0-1.fc44
kf6-kio-gui 6.25.0-1.fc44
kf6-kio-widgets 6.25.0-1.fc44
kf6-kio-widgets-libs 6.25.0-1.fc44
kf6-kirigami 6.25.0-1.fc44
kf6-kirigami-addons 1.11.0-2.fc44
kf6-kitemmodels 6.25.0-1.fc44
kf6-kitemviews 6.25.0-1.fc44
kf6-kjobwidgets 6.25.0-1.fc44
kf6-knewstuff 6.25.0-1.fc44
kf6-knotifications 6.25.0-1.fc44
kf6-knotifyconfig 6.25.0-1.fc44
kf6-kpackage 6.25.0-1.fc44
kf6-kparts 6.25.0-1.fc44
kf6-kpeople 6.25.0-1.fc44
kf6-kpty 6.25.0-1.fc44
kf6-kquickcharts 6.25.0-1.fc44
kf6-krunner 6.25.0-1.fc44
kf6-kservice 6.25.0-1.fc44
kf6-kstatusnotifieritem 6.25.0-1.fc44
kf6-ksvg 6.25.0-1.fc44
kf6-ktexteditor 6.25.0-1.fc44
kf6-ktexttemplate 6.25.0-1.fc44
kf6-ktextwidgets 6.25.0-1.fc44
kf6-kunitconversion 6.25.0-1.fc44
kf6-kuserfeedback 6.25.0-1.fc44
kf6-kwallet 6.25.0-1.fc44
kf6-kwallet-libs 6.25.0-1.fc44
kf6-kwidgetsaddons 6.25.0-1.fc44
kf6-kwindowsystem 6.25.0-1.fc44
kf6-kxmlgui 6.25.0-1.fc44
kf6-modemmanager-qt 6.25.0-1.fc44
kf6-networkmanager-qt 6.25.0-1.fc44
kf6-prison 6.25.0-1.fc44
kf6-purpose 6.25.0-1.fc44
kf6-qqc2-desktop-style 6.25.0-1.fc44
kf6-solid 6.25.0-1.fc44
kf6-sonnet 6.25.0-1.fc44
kf6-sonnet-hunspell 6.25.0-1.fc44
kf6-syndication 6.25.0-1.fc44
kf6-syntax-highlighting 6.25.0-1.fc44
kf6-threadweaver 6.25.0-1.fc44
kfind 25.12.3-1.fc44
kglobalacceld 6.6.4-1.fc44
khelpcenter 25.12.3-1.fc44
kidentitymanagement 25.12.3-1.fc44
kimageannotator-common 0.7.0-8.fc44
kimageannotator-qt6 0.7.0-8.fc44
kimap 25.12.3-1.fc44
kinfocenter 6.6.4-1.fc44
kio-admin 25.12.3-1.fc44
kio-extras 25.12.3-1.fc44
kio-fuse 5.1.1-3.fc44
kio-gdrive 25.12.3-1.fc44
kitinerary 25.12.3-1.fc44
kjournald 25.12.3-1.fc44
kjournald-libs 25.12.3-1.fc44
kldap 25.12.3-1.fc44
kleopatra 25.12.3-1.fc44
kmahjongg 25.12.3-1.fc44
kmail 25.12.3-1.fc44
kmail-account-wizard 25.12.3-1.fc44
kmail-libs 25.12.3-1.fc44
kmailtransport 25.12.3-1.fc44
kmbox 25.12.3-1.fc44
kmenuedit 6.6.4-1.fc44
kmime 25.12.3-1.fc44
kmines 25.12.3-1.fc44
kmod 34.2-4.fc44
kmod-libs 34.2-4.fc44
kmouth 25.12.3-1.fc44
knighttime 6.6.4-1.fc44
kolourpaint 25.12.3-1.fc44
kolourpaint-libs 25.12.3-1.fc44
konsole 25.12.3-1.fc44
konsole-part 25.12.3-1.fc44
kontact 25.12.3-1.fc44
kontactinterface 25.12.3-1.fc44
kontact-libs 25.12.3-1.fc44
korganizer 25.12.3-1.fc44
korganizer-libs 25.12.3-1.fc44
kpartx 0.13.1-1.fc44
kpat 25.12.3-1.fc44
kpimtextedit 25.12.3-1.fc44
kpipewire 6.6.4-1.fc44
kpkpass 25.12.3-1.fc44
kpmcore 25.12.3-1.fc44
kquickimageeditor-qt6 0.6.0-4.fc44
krb5-libs 1.22.2-2.fc44
krdc 25.12.3-1.fc44
krdc-libs 25.12.3-1.fc44
krdp 6.6.4-1.fc44
krdp-libs 6.6.4-1.fc44
krfb 25.12.3-1.fc44
krfb-libs 25.12.3-1.fc44
ksanecore 25.12.3-1.fc44
kscreen 6.6.4-1.fc44
kscreenlocker 6.6.4-1.fc44
ksmtp 25.12.3-1.fc44
ksshaskpass 6.6.4-1.fc44
ksystemstats 6.6.4-1.fc44
ktextaddons-common 1.8.0-2.fc44
ktextaddons-qt6 1.8.0-2.fc44
ktnef 25.12.3-1.fc44
kunifiedpush 25.12.3-1.fc44
kwalletmanager5 25.12.3-1.fc44
kwayland 6.6.4-1.fc44
kwin 6.6.4-2.fc44
kwin-common 6.6.4-2.fc44
kwin-libs 6.6.4-2.fc44
kwrite 25.12.3-1.fc44
kwrited 6.6.4-1.fc44
kxkb2locale1 0.1-3.fc44
kyotocabinet-libs 1.2.80-9.fc44
lame 3.100-21.fc44
lame-libs 3.100-21.fc44
langpacks-core-en 4.3-1.fc44
langpacks-en 4.3-1.fc44
langpacks-fonts-en 4.3-1.fc44
langtable 0.0.70-1.fc44
layer-shell-qt 6.6.4-1.fc44
lcms2 2.16-7.fc44
ldns 1.9.0-2.fc44
leptonica 1.87.0-3.fc44
less 691-2.fc44
less-color 691-2.fc44
liba52 0.7.4-53.fc44
libabw 0.1.3-19.fc44
libaccounts-glib 1.25-24.fc44
libaccounts-qt6 1.17-4.fc44
libacl 2.3.2-6.fc44
libadwaita 1.9.0-1.fc44
libaio 0.3.111-23.fc44
libao 1.2.0-31.fc44
libaom 3.13.1-5.fc44
libappindicator-gtk3 12.10.1-10.fc44
libarchive 3.8.4-2.fc44
libargon2 20190702-10.fc44
libaribcaption 1.1.1-4.fc44
libass 0.17.4-2.fc44
libassuan 2.5.7-5.fc44
libasyncns 0.8-32.fc44
libatasmart 0.19-32.fc44
libatomic 16.0.1-0.10.fc44
libattr 2.5.2-8.fc44
libavc1394 0.5.4-27.fc44
libavcodec-free 8.0.1-6.fc44
libavdevice-free 8.0.1-6.fc44
libavfilter-free 8.0.1-6.fc44
libavformat-free 8.0.1-6.fc44
libavif 1.3.0-4.fc44
libavutil-free 8.0.1-6.fc44
libb2 0.98.1-15.fc44
libbabeltrace 1.5.11-17.fc44
libbasicobjects 0.1.1-61.fc44
libblack-hole-solver1 1.14.0-4.fc44
libblkid 2.41.3-12.fc44
libblockdev 3.4.0-2.fc44
libblockdev-btrfs 3.4.0-2.fc44
libblockdev-crypto 3.4.0-2.fc44
libblockdev-dm 3.4.0-2.fc44
libblockdev-fs 3.4.0-2.fc44
libblockdev-loop 3.4.0-2.fc44
libblockdev-lvm 3.4.0-2.fc44
libblockdev-lvm-dbus 3.4.0-2.fc44
libblockdev-mdraid 3.4.0-2.fc44
libblockdev-mpath 3.4.0-2.fc44
libblockdev-nvdimm 3.4.0-2.fc44
libblockdev-nvme 3.4.0-2.fc44
libblockdev-part 3.4.0-2.fc44
libblockdev-plugins-all 3.4.0-2.fc44
libblockdev-smart 3.4.0-2.fc44
libblockdev-smartmontools 3.4.0-2.fc44
libblockdev-swap 3.4.0-2.fc44
libblockdev-tools 3.4.0-2.fc44
libblockdev-utils 3.4.0-2.fc44
libbluray 1.4.0-3.fc44
libbpf 1.6.3-1.fc44
libbrotli 1.2.0-3.fc44
libbs2b 3.1.0-37.fc44
libbsd 0.12.2-7.fc44
libbytesize 2.12-2.fc44
libcaca 0.99-0.82.beta20.fc44
libcamera 0.7.0-1.fc44
libcamera-ipa 0.7.0-1.fc44
libcanberra 0.30-39.fc44
libcanberra-gtk3 0.30-39.fc44
libcap 2.77-2.fc44
libcap-ng 0.9.2-1.fc44
libcap-ng-python3 0.9.2-1.fc44
libcbor 0.13.0-2.fc44
libcdio 2.3.0-1.fc44
libcdio-paranoia 10.2+2.0.2-6.fc44
libcdr 0.1.8-5.fc44
libchewing 0.11.0-2.fc44
libchromaprint 1.6.0-4.fc44
libcloudproviders 0.4.0-1.fc44
libcmis 0.6.2-11.fc44
libcollection 0.7.0-61.fc44
libcom_err 1.47.3-4.fc44
libcomps 0.1.24-1.fc44
libcue 2.3.0-14.fc44
libcupsfilters 2.1.1-7.fc44
libcurl 8.18.0-4.fc44
libdaemon 0.14-33.fc44
libdatrie 0.2.14-2.fc44
libdav1d 1.5.3-1.fc44
libdbusmenu 16.04.0-31.fc44
libdbusmenu-gtk3 16.04.0-31.fc44
libdc1394 2.2.7-9.fc44
libddcutil 2.2.1-3.fc44
libdecor 0.2.5-2.fc44
libdeflate 1.25-3.fc44
libdhash 0.5.0-61.fc44
libdisplay-info 0.3.0-1.fc44
libdisplay-info-tools 0.3.0-1.fc44
libdmtx 0.7.8-3.fc44
libdnf 0.75.0-2.fc44
libdnf5 5.4.1.0-1.fc44
libdnf5-cli 5.4.1.0-1.fc44
libdnf5-plugin-appstream 5.4.1.0-1.fc44
libdovi 3.3.2-2.fc44
libdrm 2.4.131-1.fc44
libdvdnav 7.0.0-1.fc44
libdvdread 7.0.1-1.fc44
libe-book 0.1.3-41.fc44
libebur128 1.2.6-15.fc44
libeconf 0.7.9-3.fc44
libedit 3.1-58.20251016cvs.fc44
libei 1.5.0-2.fc44
libeis 1.5.0-2.fc44
libeot 0.01-35.fc44
libepoxy 1.5.10-12.fc44
libepubgen 0.1.1-22.fc44
liberation-mono-fonts 2.1.5-15.fc44
liberation-sans-fonts 2.1.5-15.fc44
liberation-serif-fonts 2.1.5-15.fc44
libertas-firmware 20260309-1.fc44
libestr 0.1.11-13.fc44
libetonyek 0.1.13-2.fc44
libev 4.33-15.fc44
libevdev 1.13.6-2.fc44
libevent 2.1.12-17.fc44
libexif 0.6.26-1.fc44
libexttextcat 3.4.6-13.fc44
libfakekey 0.3-27.fc44
libfastjson 1.2304.0-8.fc44
libfdisk 2.41.3-12.fc44
libffi 3.5.2-2.fc44
libfido2 1.16.0-5.fc44
libfontenc 1.1.8-5.fc44
libfprint 1.94.10-1.fc44
libfreecell-solver 6.16.0-2.fc44
libfreehand 0.1.2-27.fc44
libfsverity 1.6-4.fc44
libftdi 1.5-22.fc44
libfyaml 0.8-9.fc44
libgcc 16.0.1-0.10.fc44
libgcrypt 1.12.1-1.fc44
libgexiv2 0.16.0-2.fc44
libgfortran 16.0.1-0.10.fc44
libglvnd 1.7.0-9.fc44
libglvnd-egl 1.7.0-9.fc44
libglvnd-gles 1.7.0-9.fc44
libglvnd-glx 1.7.0-9.fc44
libglvnd-opengl 1.7.0-9.fc44
libgomp 16.0.1-0.10.fc44
libgpg-error 1.58-2.fc44
libgphoto2 2.5.33-2.fc44
libgravatar 25.12.3-1.fc44
libgs 10.06.0-2.fc44
libgsf 1.14.56-1.fc44
libgudev 238-9.fc44
libgusb 0.4.9-5.fc44
libgxps 0.3.2-12.fc44
libhangul 0.2.0-3.fc44
libheif 1.21.2-1.fc44
libi2c 4.4-4.fc44
libibverbs 61.0-2.fc44
libical 3.0.20-7.fc44
libICE 1.1.2-4.fc44
libicu 77.1-2.fc44
libidn2 2.3.8-3.fc44
libiec61883 1.2.0-39.fc44
libieee1284 0.2.11-48.fc44
libijs 0.35-26.fc44
libimagequant 4.1.0-2.fc44
libimobiledevice 1.3.0^20240916gited9703d-7.fc44
libimobiledevice-glue 1.3.1-4.fc44
libini_config 1.3.1-61.fc44
libinput 1.31.0-1.fc44
libipt 2.1.2-4.fc44
libjaylink 0.3.0-10.fc44
libjcat 0.2.5-2.fc44
libjose 14-6.fc44
libjpeg-turbo 3.1.3-1.fc44
libjxl 0.11.1-8.fc44
libkcapi 1.5.0-7.fc44
libkcapi-hasher 1.5.0-7.fc44
libkcapi-hmaccalc 1.5.0-7.fc44
libkcddb 25.12.3-1.fc44
libkcddb-doc 25.12.3-1.fc44
libkcompactdisc 25.12.2-1.fc44
libkdcraw 26.03.80-2.fc44
libkdegames 25.12.3-1.fc44
libkdepim 25.12.3-1.fc44
libkexiv2-qt6 25.12.3-1.fc44
libkgapi 25.12.3-1.fc44
libkleo 25.12.3-1.fc44
libkmahjongg 25.12.3-1.fc44
libkmahjongg-data 25.12.3-1.fc44
libksane 25.12.3-1.fc44
libksba 1.6.7-5.fc44
libkscreen 6.6.4-1.fc44
libksieve 25.12.3-1.fc44
libksysguard 6.6.4-1.fc44
libksysguard-common 6.6.4-1.fc44
libkworkspace6 6.6.4-1.fc44
liblangtag 0.6.7-7.fc44
liblangtag-data 0.6.7-7.fc44
liblastlog2 2.41.3-12.fc44
liblc3 1.1.3-7.fc44
libldac 2.0.2.3-19.fc44
libldb 4.24.0-6.fc44
liblerc 4.0.0-10.fc44
liblouis 3.33.0-7.fc44
liblouis-tables 3.33.0-7.fc44
liblouisutdml 2.12.0-8.fc44
liblouisutdml-utils 2.12.0-8.fc44
liblqr-1 0.4.2-29.fc44
libluksmeta 10-2.fc44
libmarkdown 2.2.7-14.fc44
libmaxminddb 1.13.3-1.fc44
libmbim 1.32.0-3.fc44
libmbim-utils 1.32.0-3.fc44
libmd 1.1.0-9.fc44
libmng 2.0.3-25.fc44
libmnl 1.0.5-9.fc44
libmodplug 0.8.9.0-29.fc44
libmodulemd 2.15.2-7.fc44
libmount 2.41.3-12.fc44
libmpc 1.4.0-1.fc44
libmpeg2 0.5.1-33.fc44
libmspack 0.10.1-0.16.alpha.fc44
libmspub 0.1.4-39.fc44
libmtp 1.1.22-3.fc44
libmusicbrainz5 5.1.0-29.fc44
libmwaw 0.3.22-8.fc44
libmysofa 1.3.3-4.fc44
libndp 1.9-5.fc44
libnet 1.3-7.fc44
libnetapi 4.24.0-6.fc44
libnetfilter_conntrack 1.1.1-1.fc44
libnfnetlink 1.0.1-32.fc44
libnfsidmap 2.8.7-0.fc44
libnftnl 1.3.1-2.fc44
libnghttp2 1.68.0-3.fc44
libnghttp3 1.15.0-1.fc44
libnice 0.1.23-2.fc44
libnl3 3.12.0-3.fc44
libnl3-cli 3.12.0-3.fc44
libnotify 0.8.8-1.fc44
libnsl2 2.0.1-5.fc44
libnumbertext 1.0.11-10.fc44
libnvme 1.16.1-2.fc44
libobjc 16.0.1-0.10.fc44
libodfgen 0.1.8-16.fc44
liboeffis 1.5.0-2.fc44
libogg 1.3.6-2.fc44
libolm 3.2.16-11.fc44
libopenjph 0.25.3-3.fc44
libopenmpt 0.8.6-1.fc44
libopusenc 0.3-2.fc44
liborcus 0.21.0-5.fc44
libosinfo 1.12.0-5.fc44
libpagemaker 0.0.4-28.fc44
libpaper 2.1.1-10.fc44
libpasswdqc 2.0.3-9.fc44
libpath_utils 0.2.1-61.fc44
libpcap 1.10.6-2.fc44
libpciaccess 0.16-17.fc44
libpfm 4.13.0-19.fc44
libphonenumber 8.13.55-9.fc44
libpinyin 2.11.91-2.fc44
libpinyin-data 2.11.91-2.fc44
libpipeline 1.5.8-4.fc44
libpkgconf 2.5.1-1.fc44
libplacebo 7.360.1-3.fc44
libplasma 6.6.4-1.fc44
libplist 2.6.0-6.fc44
libpng 1.6.55-1.fc44
libppd 2.1.1-3.fc44
libproxy 0.5.12-2.fc44
libproxy-bin 0.5.12-2.fc44
libpskc 2.6.14-1.fc44
libpsl 0.21.5-7.fc44
libpwquality 1.4.5-15.fc44
libqalculate 5.9.0-1.fc44
libqb 2.0.9-2.fc44
libqmi 1.36.0-3.fc44
libqmi-utils 1.36.0-3.fc44
libqrtr-glib 1.2.2-9.fc44
libquadmath 16.0.1-0.10.fc44
libquotient-qt6 0.9.5-2.fc44
libqxp 0.0.2-33.fc44
librabbitmq 0.15.0-4.fc44
libraqm 0.10.1-4.fc44
LibRaw 0.22.1-1.fc44
libraw1394 2.1.2-25.fc44
libref_array 0.1.5-61.fc44
libreoffice-calc 26.2.1.2-2.fc44
libreoffice-core 26.2.1.2-2.fc44
libreoffice-data 26.2.1.2-2.fc44
libreoffice-draw 26.2.1.2-2.fc44
libreoffice-emailmerge 26.2.1.2-2.fc44
libreoffice-graphicfilter 26.2.1.2-2.fc44
libreoffice-gtk3 26.2.1.2-2.fc44
libreoffice-gtk4 26.2.1.2-2.fc44
libreoffice-help-en 26.2.1.2-2.fc44
libreoffice-impress 26.2.1.2-2.fc44
libreoffice-kf6 26.2.1.2-2.fc44
libreoffice-langpack-en 26.2.1.2-2.fc44
libreoffice-math 26.2.1.2-2.fc44
libreoffice-ogltrans 26.2.1.2-2.fc44
libreoffice-opensymbol-fonts 26.2.1.2-2.fc44
libreoffice-pdfimport 26.2.1.2-2.fc44
libreoffice-pyuno 26.2.1.2-2.fc44
libreoffice-ure 26.2.1.2-2.fc44
libreoffice-ure-common 26.2.1.2-2.fc44
libreoffice-writer 26.2.1.2-2.fc44
librepo 1.20.0-5.fc44
libreport 2.17.15-10.fc44
libreport-anaconda 2.17.15-10.fc44
libreport-cli 2.17.15-10.fc44
libreport-fedora 2.17.15-10.fc44
libreport-filesystem 2.17.15-10.fc44
libreport-gtk 2.17.15-10.fc44
libreport-plugin-bugzilla 2.17.15-10.fc44
libreport-plugin-kerneloops 2.17.15-10.fc44
libreport-plugin-logger 2.17.15-10.fc44
libreport-plugin-reportuploader 2.17.15-10.fc44
libreport-plugin-systemd-journal 2.17.15-10.fc44
libreport-plugin-ureport 2.17.15-10.fc44
libreport-web 2.17.15-10.fc44
libreswan 5.3-5.fc44
libreswan-minimal 5.3-5.fc44
librevenge 0.0.5-13.fc44
librist 0.2.11-1.fc44
librsvg2 2.62.0-1.fc44
libsamplerate 0.2.2-12.fc44
libsane-airscan 0.99.36-2.fc44
libsane-hpaio 3.25.8-2.fc44
libsbc 2.1-2.fc44
libseccomp 2.6.0-3.fc44
libsecret 0.21.7-10.fc44
libselinux 3.10-1.fc44
libselinux-utils 3.10-1.fc44
libsemanage 3.10-1.fc44
libsepol 3.10-1.fc44
libshaderc 2026.1-1.fc44
libshout 2.4.6-10.fc44
libsigc++20 2.12.1-7.fc44
libSM 1.2.5-4.fc44
libsmartcols 2.41.3-12.fc44
libsmbclient 4.24.0-6.fc44
libsndfile 1.2.2-11.fc44
libsodium 1.0.21-3.fc44
libsolv 0.7.36-2.fc44
libsoup3 3.6.6-6.fc44
libspectre 0.2.12-11.fc44
libsrtp 2.8.0-1.fc44
libss 1.47.3-4.fc44
libssh 0.12.0-1.fc44
libssh-config 0.12.0-1.fc44
libsss_certmap 2.12.0-4.fc44
libsss_idmap 2.12.0-4.fc44
libsss_nss_idmap 2.12.0-4.fc44
libsss_sudo 2.12.0-4.fc44
libstaroffice 0.0.7-17.fc44
libstdc++ 16.0.1-0.10.fc44
libstemmer 3.0.1-11.fc44
libswresample-free 8.0.1-6.fc44
libswscale-free 8.0.1-6.fc44
libtalloc 2.4.4-1.fc44
libtasn1 4.21.0-1.fc44
libtdb 1.4.15-1.fc44
libteam 1.32-13.fc44
libtevent 0.17.1-4.fc44
libtextstyle 0.26-4.fc44
libthai 0.1.30-2.fc44
libtheora 1.1.1-41.fc44
libtiff 4.7.1-2.fc44
libtinysparql 3.11.0-1.fc44
libtirpc 1.3.7-2.fc44
libtommath 1.3.1~rc1-7.fc44
libtool-ltdl 2.5.4-10.fc44
libtraceevent 1.8.4-5.fc44
libudfread 1.2.0-3.fc44
libudisks2 2.11.1-1.fc44
libultrahdr 1.4.0^20251202git8cbc983-1.fc44
libunibreak 6.1-5.fc44
libunistring 1.1-11.fc44
libunity-gtk3-parser 0.0.0+17.04.20170403-24.fc44
libunwind 1.8.3-1.fc44
liburing 2.13-2.fc44
libusb1 1.0.29-5.fc44
libusbmuxd 2.1.0-5.fc44
libuser 0.64-17.fc44
libutempter 1.2.1-20.fc44
libuuid 2.41.3-12.fc44
libuv 1.51.0-3.fc44
libv4l 1.32.0-3.fc44
libva 2.23.0-3.fc44
libva-intel-media-driver 25.4.6-2.fc44
libvdpau 1.5-11.fc44
libverto 0.3.2-12.fc44
libverto-libev 0.3.2-12.fc44
libvisio 0.1.10-1.fc44
libvisual 0.4.2-4.fc44
libvmaf 3.0.0-5.fc44
libvncserver 0.9.15-6.fc44
libvorbis 1.3.7-14.fc44
libvpl 2.16.0-2.fc44
libvpx 1.15.0-5.fc44
libwacom 2.18.0-1.fc44
libwacom-data 2.18.0-1.fc44
libwayland-client 1.24.0-3.fc44
libwayland-cursor 1.24.0-3.fc44
libwayland-egl 1.24.0-3.fc44
libwayland-server 1.24.0-3.fc44
libwbclient 4.24.0-6.fc44
libwebp 1.6.0-3.fc44
libwinpr 3.24.2-1.fc44
libwmf-lite 0.2.13-9.fc44
libwnck3 43.3-2.fc44
libwpd 0.10.3-24.fc44
libwpg 0.3.4-7.fc44
libwps 0.4.14-7.fc44
libX11 1.8.13-1.fc44
libX11-common 1.8.13-1.fc44
libX11-xcb 1.8.13-1.fc44
libXau 1.0.12-4.fc44
libXaw 1.0.16-5.fc44
libxcb 1.17.0-7.fc44
libXcomposite 0.4.6-7.fc44
libxcrypt 4.5.2-3.fc44
libXcursor 1.2.3-4.fc44
libxcvt 0.1.2-11.fc44
libXdamage 1.1.6-7.fc44
libXdmcp 1.1.5-5.fc44
libXext 1.3.6-5.fc44
libXfixes 6.0.1-7.fc44
libXfont2 2.0.7-4.fc44
libXft 2.3.8-10.fc44
libXi 1.8.2-4.fc44
libXinerama 1.1.5-10.fc44
libxkbcommon 1.13.1-2.fc44
libxkbcommon-x11 1.13.1-2.fc44
libxkbfile 1.1.3-5.fc44
libxml2 2.12.10-6.fc44
libxmlb 0.3.25-1.fc44
libXmu 1.2.1-5.fc44
libXpm 3.5.17-7.fc44
libXrandr 1.5.4-7.fc44
libXrender 0.9.12-4.fc44
libXres 1.2.2-7.fc44
libXScrnSaver 1.2.4-7.fc44
libxshmfence 1.3.2-8.fc44
libxslt 1.1.43-6.fc44
libXt 1.3.1-4.fc44
libXtst 1.2.5-4.fc44
libXv 1.0.13-4.fc44
libXxf86dga 1.1.6-7.fc44
libXxf86vm 1.1.6-4.fc44
libyaml 0.2.5-18.fc44
libyuv 0-0.61.20260213git6067afd.fc44
libzip 1.11.4-3.fc44
libzmf 0.0.2-42.fc44
libzstd 1.5.7-5.fc44
lilv-libs 0.26.4-1.fc44
linux-atm-libs 2.5.1-46.fc44
linux-firmware 20260309-1.fc44
linux-firmware-whence 20260309-1.fc44
livesys-scripts 0.9.6-1.fc44
lksctp-tools 1.0.21-3.fc44
llvm-filesystem 22.1.1-2.fc44
llvm-libs 22.1.1-2.fc44
lmdb-libs 0.9.34-2.fc44
lm_sensors-libs 3.6.0-24.fc44
localsearch 3.11~rc-1.fc44
lockdev 1.0.4-0.54.20111007git.fc44
logrotate 3.22.0-5.fc44
lpcnetfreedv 0.5-10.fc44
lpsolve 5.5.2.14-2.fc44
lrzsz 0.12.20-76.fc44
lsb_release 3.3-8.fc44
lsof 4.98.0-9.fc44
lttng-ust 2.14.0-5.fc44
lua-libs 5.4.8-5.fc44
luksmeta 10-2.fc44
lvm2 2.03.38-2.fc44
lvm2-dbusd 2.03.38-2.fc44
lvm2-libs 2.03.38-2.fc44
lz4-libs 1.10.0-4.fc44
lzo 2.10-16.fc44
m17n-db 1.8.10-3.fc44
m17n-lib 1.8.6-3.fc44
mactel-boot 0.9-37.fc44
madan-fonts 2.000-43.fc44
mailcap 2.1.54-10.fc44
mailcommon 25.12.3-1.fc44
mailimporter 25.12.3-1.fc44
mailimporter-akonadi 25.12.3-1.fc44
malcontent-libs 0.14.0-1.fc44
man-db 2.13.1-3.fc44
man-pages 6.13-3.fc44
mariadb 11.8.6-2.fc44
mariadb-backup 11.8.6-2.fc44
mariadb-client-utils 11.8.6-2.fc44
mariadb-common 11.8.6-2.fc44
mariadb-connector-c 3.4.8-3.fc44
mariadb-connector-c-config 3.4.8-3.fc44
mariadb-cracklib-password-check 11.8.6-2.fc44
mariadb-errmsg 11.8.6-2.fc44
mariadb-gssapi-server 11.8.6-2.fc44
mariadb-server 11.8.6-2.fc44
mcelog 175-14.fc44
md4c 0.5.1-5.fc44
