7zip 25.01-5.fc44
cockpit-ws 360.1-1.fc44
cockpit-ws-selinux 360.1-1.fc44
codec2 1.2.0-9.fc44
colord 1.4.8-4.fc44
colord-kde 25.12.3-1.fc44
colord-libs 1.4.8-4.fc44
color-filesystem 1-38.fc44
composefs 1.0.8-5.fc44
composefs-libs 1.0.8-5.fc44
compsize 1.5^git20250123.d79eacf-15.fc44
conmon 2.2.1-2.fc44
containers-common 0.67.0-1.fc44
containers-common-extra 0.67.0-1.fc44
container-selinux 2.247.0-1.fc44
coreutils 9.10-3.fc44
coreutils-common 9.10-3.fc44
corosynclib 3.1.10-4.fc44
cpio 2.15-9.fc44
cpp 16.0.1-0.10.fc44
cracklib 2.9.11-10.fc44
cracklib-dicts 2.9.11-10.fc44
criu 4.2-13.fc44
criu-libs 4.2-13.fc44
cronie 1.7.2-16.fc44
cronie-anacron 1.7.2-16.fc44
crontabs 1.11^20190603git9e74f2d-10.fc44
crun 1.27-1.fc44
cryfs 0.11.3-15.fc44
crypto-policies 20251128-3.git19878fe.fc44
crypto-policies-scripts 20251128-3.git19878fe.fc44
cryptsetup 2.8.4-1.fc44
cryptsetup-libs 2.8.4-1.fc44
ctags 6.2.1-3.fc44
cups 2.4.16-7.fc44
cups-browsed 2.1.1-7.fc44
cups-client 2.4.16-7.fc44
cups-filesystem 2.4.16-7.fc44
cups-filters 2.0.1-14.fc44
cups-filters-driverless 2.0.1-14.fc44
cups-ipptool 2.4.16-7.fc44
cups-libs 2.4.16-7.fc44
cups-pk-helper 0.2.7-12.fc44
curl 8.18.0-4.fc44
cxl-libs 84-1.fc44
cyrus-sasl-gssapi 2.1.28-35.fc44
cyrus-sasl-lib 2.1.28-35.fc44
cyrus-sasl-md5 2.1.28-35.fc44
cyrus-sasl-plain 2.1.28-35.fc44
daxctl-libs 84-1.fc44
dbus 1.16.2-1.fc44
dbus-broker 37-8.fc44
dbus-common 1.16.2-1.fc44
dbus-daemon 1.16.2-1.fc44
dbus-libs 1.16.2-1.fc44
dbus-tools 1.16.2-1.fc44
dbus-x11 1.16.2-1.fc44
dconf 0.49.0-5.fc44
ddcutil 2.2.1-3.fc44
default-editor 8.7.1-1.fc44
default-fonts-am 4.3-1.fc44
default-fonts-ar 4.3-1.fc44
default-fonts-as 4.3-1.fc44
default-fonts-ast 4.3-1.fc44
default-fonts-be 4.3-1.fc44
default-fonts-bg 4.3-1.fc44
default-fonts-bn 4.3-1.fc44
default-fonts-bo 4.3-1.fc44
default-fonts-br 4.3-1.fc44
default-fonts-chr 4.3-1.fc44
default-fonts-cjk-mono 4.3-1.fc44
default-fonts-cjk-sans 4.3-1.fc44
default-fonts-cjk-serif 4.3-1.fc44
default-fonts-core-emoji 4.3-1.fc44
default-fonts-core-math 4.3-1.fc44
